airfoil,angle_of_attack,reynolds_number,velocity,Cl,Cd
NACA4412,11.55037844212606,2760102.8485679454,205.54439665028733,1.1148836151766532,0.28007672041698045
NACA6409,10.290555893094353,4181178.6149474243,23.80407333667162,0.982952936950564,0.22400570451647941
NACA0012,6.470579029111466,712935.6581983772,62.96581658381465,0.7263418615661845,0.09416037078432572
NACA4412,14.120942872238661,735936.5320407953,170.62821948710115,1.4598911902327818,0.4088699309723257
NACA4412,-0.9905096894319438,2828409.965363707,106.42464999491148,-0.0018717645743162176,0.012841238927355367
NACA6409,-2.8147157938075718,4737255.401456017,245.9710097440546,-0.2786989126228722,0.026234507155654396
NACA0012,12.079239339108444,2133489.0160166956,173.04310230679843,1.2223199149731445,0.30023149411458705
NACA0012,3.7829963326749656,1702016.291248005,240.00624900771749,0.3649400549847322,0.03779801796649463
NACA4412,11.93937708414121,3072777.6836696407,66.33269077853258,1.1795835982583704,0.29901888597870996
NACA2412,12.861804103908298,4659198.142670652,218.7101164664553,1.2340860637669615,0.34619632309988074
NACA4412,-3.7508481276185712,4200946.380938657,93.91103033750183,-0.37088430321563953,0.04126306036338085
NACA4412,12.669295259721213,4977869.692592777,247.59990589469555,1.2274671962278116,0.33197853263631405
NACA4412,3.966381107388443,210586.05769164773,56.26839457682388,0.4187335568470545,0.040788860112692074
NACA4412,5.208649780084645,653004.9090925349,138.75815833281513,0.529365488957475,0.06266369327535772
NACA6409,7.531850221864204,3086392.040496448,202.35424278253805,0.7675691243702066,0.1219929707083313
NACA0012,13.527652134601734,4120824.5527358637,119.50777053892826,1.4365217104446848,0.3748882092322162
NACA6409,-4.61767811140472,1497697.277303156,127.65933384315873,-0.46365370862875155,0.05694823036394406
NACA6409,4.536869366356342,1272134.331367672,246.86183296632043,0.4915232867783056,0.05477893188753039
NACA6409,8.754440848611214,3956181.416967884,117.82087456926526,0.9780195580654005,0.16477302592353607
NACA4412,9.454139153964569,376271.08388083475,158.93658313778462,1.0107447688612092,0.18684026793222613
NACA2412,8.85064863074216,1909974.973154667,32.544121955284666,0.9427233479969583,0.1684540742231382
NACA0012,-2.311297411837563,2578465.1907024155,213.7083184483598,-0.24646415195978127,0.020206957394912826
NACA2412,0.9879117674336246,2845708.5043165847,169.078651265295,0.1102733295217523,0.007645920443179413
NACA6409,2.1743105083402696,3670214.2682846067,112.92462365844712,0.15151723623252988,0.02002945364816036
NACA6409,11.088744153590099,1838744.0448102253,23.718994189539544,1.1338201354072308,0.2542366677258891
NACA2412,0.5751974482910605,3102153.2889055754,156.0838287365059,0.07124275370979813,0.00904559735086102
NACA2412,-0.7859007226559367,2968339.571675686,22.911300551357304,-0.07742081600778461,0.010734463904606232
